City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,nova sintra,14.8667,-24.7167,23.65,76,83,2.82,CV,1696589776
115,pacific grove,36.6177,-121.9166,22.5,57,0,3.58,US,1696589776
116,lerwick,60.1545,-1.1494,12.0,93,100,8.16,GB,1696589776
117,saint-philippe,-21.3585,55.7679,24.77,73,9,5.66,RE,1696589777
118,oyotun,-6.8519,-79.3036,21.21,90,98,1.37,PE,1696589777
119,murzuq,25.9155,13.9184,29.74,20,0,4.61,LY,1696589778
120,vorzel',50.5444,30.153,17.91,34,9,7.88,UA,1696589778
121,hawaiian paradise park,19.5933,-154.9731,22.16,94,88,2.43,US,1696589778
122,bom jesus,-9.0744,-44.3586,32.26,25,17,4.47,BR,1696589778
123,el granada,37.5027,-122.4694,23.56,59,0,0.94,US,1696589779
124,akhalk'alak'i,41.4051,43.4863,15.81,39,47,2.39,GE,1696589779
125,lubao,14.9167,120.55,28.84,87,100,2.07,PH,1696589779
126,seydi,39.4816,62.9137,20.48,52,81,8.97,TM,1696589780
127,warrensburg,38.7628,-93.7361,9.65,81,0,1.54,US,1696589780
128,songea,-10.6833,35.65,27.64,44,40,2.06,TZ,1696589780
129,abalak,58.1286,68.5944,11.86,70,98,2.23,RU,1696589780
130,akjoujt,19.6969,-14.4164,36.98,19,84,2.01,MR,1696589781
131,lazaro cardenas,17.9583,-102.2,25.99,89,78,1.77,MX,1696589781
132,zhaotong,27.3167,103.7167,11.37,92,100,2.43,CN,1696589781
133,dhidhdhoo,6.8833,73.1,27.92,77,74,4.9,MV,1696589781
134,alaghsas,17.0187,8.0168,35.94,19,0,5.14,NE,1696589781
135,ambon,-3.6954,128.1814,29.37,95,40,1.54,ID,1696589782
136,alofi,-19.0595,-169.9187,17.94,77,18,0.51,NU,1696589782
137,mahdalynivka,48.921,34.9156,18.79,32,79,8.0,UA,1696589782
138,alice springs,-23.7,133.8833,19.75,19,9,4.63,AU,1696589782
139,tazovsky,67.4667,78.7,4.82,72,100,11.51,RU,1696589783
140,chibougamau,49.9168,-74.3659,14.79,94,100,3.6,CA,1696589783
141,kone,-21.0595,164.8658,18.91,80,51,2.38,NC,1696589783
142,cabo san lucas,22.8909,-109.9124,29.86,76,97,2.31,MX,1696589783
143,lichinga,-13.3128,35.2406,26.05,53,75,5.36,MZ,1696589784
144,balpyk bi,44.8947,78.2083,20.51,29,100,4.98,KZ,1696589784
145,khorramabad,33.4878,48.3558,28.79,13,0,8.23,IR,1696589784
146,heroica caborca,30.7167,-112.15,23.74,31,93,0.71,MX,1696589785
147,hammerfest,70.6634,23.6821,2.25,87,75,2.06,NO,1696589785
148,emerald,-23.5333,148.1667,22.97,29,33,8.34,AU,1696589785
149,nouadhibou,20.931,-17.0347,25.99,69,16,9.77,MR,1696589785
150,kourou,5.1552,-52.6478,25.03,81,100,2.9,GF,1696589787
151,puerto ayora,-0.7393,-90.3518,21.97,93,31,2.68,EC,1696589787
152,margate,51.3813,1.3862,19.27,70,98,1.79,GB,1696589787
153,guerrero negro,27.9769,-114.0611,19.77,88,75,3.69,MX,1696589787
154,qui nhon,13.7667,109.2333,28.04,83,93,2.81,VN,1696589642
155,ujae,8.9322,165.7642,27.82,77,100,4.31,MH,1696589788
156,kingston,17.997,-76.7936,27.53,88,20,1.54,JM,1696589788
157,klucze,50.3357,19.5624,16.62,73,59,4.1,PL,1696589788
158,beau vallon,-20.4189,57.6953,26.23,53,75,5.66,MU,1696589788
159,minas de marcona,-15.2119,-75.1103,13.45,89,70,3.63,PE,1696589789
160,brisas de zicatela,15.8369,-97.0419,26.12,87,100,1.86,MX,1696589789
161,whitefish,48.4111,-114.3376,6.11,87,35,1.23,US,1696589789
162,stanley,54.868,-1.6985,17.51,86,40,8.75,GB,1696589789
163,kaedi,16.1465,-13.5047,35.18,41,97,2.94,MR,1696589790
164,wanning,18.8003,110.3967,27.43,82,78,2.65,CN,1696589790
165,tralee,52.2704,-9.7026,18.14,94,75,1.03,IE,1696589790
166,zaysan,47.4667,84.8667,17.05,43,7,1.07,KZ,1696589790
167,fort bragg,35.139,-79.006,19.34,92,98,0.89,US,1696589791
168,chonchi,-42.6128,-73.8092,3.4,95,36,1.53,CL,1696589791
169,scottburgh,-30.2867,30.7532,24.74,71,33,6.34,ZA,1696589791
170,katsuura,35.1333,140.3,21.06,47,44,4.44,JP,1696589495
171,callao,-12.0667,-77.15,18.73,82,100,4.12,PE,1696589791
172,okahandja,-21.9833,16.9167,34.31,7,0,3.38,NA,1696589792
173,dezhou,37.4486,116.2925,18.38,44,100,3.47,CN,1696589792
174,badger,64.8,-147.5333,-0.01,95,100,2.06,US,1696589792
175,bubaque,11.2833,-15.8333,27.42,76,99,0.86,GW,1696589792
176,neka,36.6508,53.299,24.73,53,20,5.14,IR,1696589792
177,lebu,-37.6167,-73.65,8.96,85,46,1.31,CL,1696589793
178,teotitlan,18.1319,-97.0767,19.18,94,74,0.99,MX,1696589793
179,avarua,-21.2078,-159.775,22.03,94,75,2.06,CK,1696589793
180,praia da vitoria,38.7333,-27.0667,20.14,88,75,3.5,PT,1696589793
181,gereida,11.2811,25.1414,35.68,33,40,1.7,SD,1696589794
182,barakani,-12.1356,44.4317,26.08,75,36,2.95,KM,1696589794
183,kashgar,39.4547,75.9797,24.56,19,20,4.0,CN,1696589794
184,nar'yan-mar,67.6713,53.087,3.95,78,79,9.39,RU,1696589513
185,isafjordur,66.0755,-23.124,4.02,65,100,3.6,IS,1696589794
186,weno,7.4515,151.8468,28.62,77,100,6.02,FM,1696589795
187,vilyuysk,63.7553,121.6247,0.56,65,100,2.24,RU,1696589795
188,calama,-22.4667,-68.9333,6.27,33,0,7.2,CL,1696589795
189,kolonia town,6.964,158.206,29.04,76,100,7.55,FM,1696589795
190,ouddorp,51.8117,3.9347,18.35,81,95,11.12,NL,1696589796
191,new norfolk,-42.7826,147.0587,8.72,93,47,1.51,AU,1696589796
192,bodaybo,57.8506,114.1933,6.18,97,100,1.72,RU,1696589796
193,tamiahua,21.2667,-97.45,24.54,93,73,3.81,MX,1696589796
194,colonia,50.9333,6.95,20.03,66,0,3.09,DE,1696589661
195,obo,5.3998,26.4869,32.73,45,45,2.82,CF,1696589797
196,mar del plata,-38.0023,-57.5575,5.01,81,0,4.63,AR,1696589567
197,arraial do cabo,-22.9661,-42.0278,22.98,94,75,3.6,BR,1696589797
198,mont-dore,-22.2833,166.5833,20.99,76,22,3.8,NC,1696589797
199,tayga,56.06,85.6197,14.51,67,73,2.27,RU,1696589798
200,susuman,62.7833,148.1667,-1.12,82,98,2.24,RU,1696589798
201,beberibe,-4.1797,-38.1306,27.67,67,100,4.7,BR,1696589798
202,mili,6.0815,171.735,28.5,74,100,3.44,MH,1696589799
203,galesong,-5.3166,119.3661,30.01,64,2,2.09,ID,1696589799
204,uaua,-9.8414,-39.4817,25.26,59,21,5.81,BR,1696589800
